trtmnt,Year,Age,S_NoTr,S_BA,S_SDI,S_CCF,S_TpHt,S_QMD,S_Mer,S_SLgCft,S_SLgBft,R_NoTr,R_Mer,R_SLgCft,R_SLgBft,Aft_BA,Aft_SDI,Aft_CCF,Aft_TpHt, AftQMD,G_PYr,G_Accre,G_Mort,MAIMer,Fortyp,MAISS
cont,1984,0,324,125,227,247,76,8.4,3055,2024,10595,117,28,0,0,116,202,221,76,10.1,1,32,3,0.0,404,12
cont,1985,1,245,116,203,222,76,9.3,3056,2041,10680,0,0,0,0,116,203,222,76,9.3,1,31,3,0.0,404,12
cont,1986,2,245,117,204,222,77,9.4,3083,2057,10768,0,0,0,0,117,204,222,77,9.4,1,30,3,0.0,404,12
cont,1987,3,244,117,204,223,77,9.4,3110,2084,10900,0,0,0,0,117,204,223,77,9.4,1,34,3,0.0,404,12
cont,1988,4,244,118,205,223,78,9.4,3141,2103,11005,0,0,0,0,118,205,223,78,9.4,1,27,3,0.0,404,12
cont,1989,5,243,118,205,224,78,9.4,3165,2124,11112,0,0,0,0,118,205,224,78,9.4,1,29,3,0.0,404,12
cont,1990,6,243,118,206,224,78,9.5,3191,2155,11263,0,0,0,0,118,206,224,78,9.5,1,34,3,0.0,404,12
cont,1991,7,243,119,207,225,79,9.5,3223,2178,11387,0,0,0,0,119,207,225,79,9.5,1,30,3,0.0,404,12
cont,1992,8,242,119,207,226,79,9.5,3250,2194,11476,0,0,0,0,119,207,226,79,9.5,1,37,3,0.0,404,12
cont,1993,9,242,120,208,227,79,9.5,3284,2214,11583,0,0,0,0,120,208,227,79,9.5,1,31,3,0.0,404,12
cont,1994,10,241,121,209,227,79,9.6,3312,2233,11690,0,0,0,0,121,209,227,79,9.6,1,31,3,0.0,404,12
cont,1995,11,241,121,210,228,80,9.6,3340,2256,11806,0,0,0,0,121,210,228,80,9.6,1,30,3,0.0,404,12
cont,1996,12,240,122,210,229,80,9.6,3367,2271,11894,0,0,0,0,122,210,229,80,9.6,1,30,3,0.0,404,12
cont,1997,13,240,122,211,229,80,9.7,3394,2287,11983,0,0,0,0,122,211,229,80,9.7,1,21,3,0.0,404,12
cont,1998,14,240,122,211,230,80,9.7,3412,2299,12046,0,0,0,0,122,211,230,80,9.7,1,24,3,0.0,404,12
cont,1999,15,239,123,212,230,81,9.7,3433,2321,12152,0,0,0,0,123,212,230,81,9.7,1,22,3,0.0,404,12
cont,2000,16,239,123,212,230,81,9.7,3451,2334,12222,0,0,0,0,123,212,230,81,9.7,1,26,3,0.0,404,12
cont,2001,17,238,123,213,231,81,9.7,3475,2348,12302,0,0,0,0,123,213,231,81,9.7,1,29,3,0.0,404,12
cont,2002,18,238,124,213,231,81,9.8,3500,2363,12383,0,0,0,0,124,213,231,81,9.8,1,25,3,0.0,404,12
cont,2003,19,237,124,214,232,82,9.8,3521,2375,12451,0,0,0,0,124,214,232,82,9.8,1,25,3,0.0,404,12
cont,2004,20,237,124,214,232,82,9.8,3543,2388,12519,0,0,0,0,124,214,232,82,9.8,1,28,3,0.0,404,12
cont,2005,21,237,125,215,233,82,9.8,3567,2402,12604,0,0,0,0,125,215,233,82,9.8,1,23,3,0.0,404,12
cont,2006,22,236,125,215,233,82,9.9,3587,2414,12669,0,0,0,0,125,215,233,82,9.9,1,19,3,0.0,404,12
cont,2007,23,236,125,215,233,82,9.9,3603,2423,12720,0,0,0,0,125,215,233,82,9.9,1,24,3,0.0,404,12
cont,2008,24,235,126,216,234,83,9.9,3623,2435,12789,0,0,0,0,126,216,234,83,9.9,1,28,3,0.0,404,12
cont,2009,25,235,126,216,235,83,9.9,3648,2450,12872,0,0,0,0,126,216,235,83,9.9,1,26,4,0.0,404,12
cont,2010,26,234,126,217,235,83,9.9,3671,2462,12946,0,0,0,0,126,217,235,83,9.9,1,23,4,0.0,404,12
cont,2011,27,234,127,218,236,83,10.0,3691,2474,13013,0,0,0,0,127,218,236,83,10.0,1,22,4,0.0,404,12
cont,2012,28,234,127,218,236,83,10.0,3709,2485,13072,0,0,0,0,127,218,236,83,10.0,1,25,4,0.0,404,12
cont,2013,29,233,128,219,237,84,10.0,3730,2497,13144,0,0,0,0,128,219,237,84,10.0,1,25,4,0.0,404,12
cont,2014,30,233,128,219,237,84,10.0,3751,2509,13214,0,0,0,0,128,219,237,84,10.0,1,33,4,0.0,404,12
cont,2015,31,232,129,220,238,84,10.1,3780,2526,13314,0,0,0,0,129,220,238,84,10.1,1,27,4,0.0,404,12
cont,2016,32,232,129,221,239,84,10.1,3804,2539,13392,0,0,0,0,129,221,239,84,10.1,1,29,4,0.0,404,12
cont,2017,33,231,130,222,240,84,10.1,3828,2578,13577,0,0,0,0,130,222,240,84,10.1,1,35,4,0.0,404,12
cont,2018,34,231,131,223,241,84,10.2,3859,2612,13749,0,0,0,0,131,223,241,84,10.2,1,29,4,0.0,404,12
cont,2019,35,231,131,224,242,84,10.2,3884,2635,13872,0,0,0,0,131,224,242,84,10.2,1,25,4,0.0,404,12
cont,2020,36,230,132,224,242,85,10.2,3904,2648,13948,0,0,0,0,132,224,242,85,10.2,1,25,4,0.0,404,12
cont,2021,37,230,132,225,243,85,10.3,3925,2672,14066,0,0,0,0,132,225,243,85,10.3,1,24,4,0.0,404,12
cont,2022,38,229,132,225,243,85,10.3,3945,2695,14184,0,0,0,0,132,225,243,85,10.3,1,24,4,0.0,404,12
cont,2023,39,229,133,226,244,85,10.3,3965,2714,14288,0,0,0,0,133,226,244,85,10.3,1,24,4,0.0,404,12
cont,2024,40,229,133,227,244,85,10.3,3985,2731,14385,0,0,0,0,133,227,244,85,10.3,0,0,0,0.0,404,12
cont,1984,0,296,141,246,283,80,9.3,3805,3045,15655,170,300,0,0,116,188,218,80,13.0,1,31,4,0.0,162,12
cont,1985,1,246,116,189,218,81,9.3,3531,3070,15789,0,0,0,0,116,189,218,81,9.3,1,31,3,0.0,162,12
cont,1986,2,246,117,189,219,81,9.3,3559,3095,15927,0,0,0,0,117,189,219,81,9.3,1,31,3,0.0,162,12
cont,1987,3,246,117,189,219,81,9.3,3587,3120,16062,0,0,0,0,117,189,219,81,9.3,1,34,3,0.0,162,12
cont,1988,4,245,117,190,220,82,9.4,3617,3147,16219,0,0,0,0,117,190,220,82,9.4,1,27,3,0.0,162,12
cont,1989,5,245,118,190,220,82,9.4,3641,3169,16336,0,0,0,0,118,190,220,82,9.4,1,29,3,0.0,162,12
cont,1990,6,244,118,191,221,82,9.4,3667,3192,16463,0,0,0,0,118,191,221,82,9.4,1,33,3,0.0,162,12
cont,1991,7,244,118,191,222,83,9.4,3697,3219,16615,0,0,0,0,118,191,222,83,9.4,1,30,3,0.0,162,12
cont,1992,8,243,119,192,222,83,9.5,3723,3243,16751,0,0,0,0,119,192,222,83,9.5,1,36,3,0.0,162,12
cont,1993,9,243,119,193,223,83,9.5,3756,3285,16970,0,0,0,0,119,193,223,83,9.5,1,31,3,0.0,162,12
cont,1994,10,243,120,193,224,84,9.5,3783,3331,17200,0,0,0,0,120,193,224,84,9.5,1,30,3,0.0,162,12
cont,1995,11,242,120,194,224,84,9.5,3809,3371,17405,0,0,0,0,120,194,224,84,9.5,1,29,3,0.0,162,12
cont,1996,12,242,120,194,225,84,9.6,3835,3396,17540,0,0,0,0,120,194,225,84,9.6,1,30,3,0.0,162,12
cont,1997,13,241,121,195,226,84,9.6,3862,3420,17677,0,0,0,0,121,195,226,84,9.6,1,21,3,0.0,162,12
cont,1998,14,241,121,195,226,85,9.6,3879,3436,17767,0,0,0,0,121,195,226,85,9.6,1,24,3,0.0,162,12
cont,1999,15,241,121,195,226,85,9.6,3900,3455,17874,0,0,0,0,121,195,226,85,9.6,1,22,3,0.0,162,12
cont,2000,16,240,121,196,226,85,9.6,3918,3473,17967,0,0,0,0,121,196,226,85,9.6,1,26,3,0.0,162,12
cont,2001,17,240,122,196,227,85,9.6,3941,3493,18084,0,0,0,0,122,196,227,85,9.6,1,28,3,0.0,162,12
cont,2002,18,239,122,197,228,86,9.7,3965,3516,18213,0,0,0,0,122,197,228,86,9.7,1,24,4,0.0,162,12
cont,2003,19,239,122,197,228,86,9.7,3985,3534,18318,0,0,0,0,122,197,228,86,9.7,1,24,4,0.0,162,12
cont,2004,20,238,122,198,228,86,9.7,4005,3553,18422,0,0,0,0,122,198,228,86,9.7,1,28,4,0.0,162,12
cont,2005,21,238,123,198,229,86,9.7,4030,3575,18552,0,0,0,0,123,198,229,86,9.7,1,22,4,0.0,162,12
cont,2006,22,238,123,199,230,87,9.7,4049,3592,18648,0,0,0,0,123,199,230,87,9.7,1,19,4,0.0,162,12
cont,2007,23,237,123,199,230,87,9.8,4064,3607,18731,0,0,0,0,123,199,230,87,9.8,1,24,4,0.0,162,12
cont,2008,24,237,124,199,230,87,9.8,4084,3625,18836,0,0,0,0,124,199,230,87,9.8,1,27,4,0.0,162,12
cont,2009,25,236,124,200,231,87,9.8,4108,3647,18961,0,0,0,0,124,200,231,87,9.8,1,25,4,0.0,162,12
cont,2010,26,236,124,201,232,87,9.8,4129,3666,19075,0,0,0,0,124,201,232,87,9.8,1,23,4,0.0,162,12
cont,2011,27,236,125,201,232,88,9.9,4148,3685,19184,0,0,0,0,125,201,232,88,9.9,1,21,4,0.0,162,12
cont,2012,28,235,125,201,233,88,9.9,4165,3701,19274,0,0,0,0,125,201,233,88,9.9,1,24,4,0.0,162,12
cont,2013,29,235,125,202,233,88,9.9,4186,3720,19386,0,0,0,0,125,202,233,88,9.9,1,23,4,0.0,162,12
cont,2014,30,234,126,202,234,88,9.9,4205,3740,19501,0,0,0,0,126,202,234,88,9.9,1,31,4,0.0,162,12
cont,2015,31,234,126,203,235,88,9.9,4232,3769,19668,0,0,0,0,126,203,235,88,9.9,1,26,4,0.0,162,12
cont,2016,32,233,127,204,236,89,10.0,4254,3796,19815,0,0,0,0,127,204,236,89,10.0,1,28,4,0.0,162,12
cont,2017,33,233,127,205,237,89,10.0,4278,3818,19949,0,0,0,0,127,205,237,89,10.0,1,33,4,0.0,162,12
cont,2018,34,233,128,206,238,89,10.0,4307,3847,20119,0,0,0,0,128,206,238,89,10.0,1,27,4,0.0,162,12
cont,2019,35,232,128,207,239,89,10.1,4329,3879,20294,0,0,0,0,128,207,239,89,10.1,1,23,4,0.0,162,12
cont,2020,36,232,129,207,240,89,10.1,4348,3900,20411,0,0,0,0,129,207,240,89,10.1,1,23,4,0.0,162,12
cont,2021,37,231,129,208,240,89,10.1,4367,3927,20556,0,0,0,0,129,208,240,89,10.1,1,23,4,0.0,162,12
cont,2022,38,231,130,208,241,89,10.1,4386,3945,20665,0,0,0,0,130,208,241,89,10.1,1,23,4,0.0,162,12
cont,2023,39,231,130,209,242,89,10.2,4405,3965,20780,0,0,0,0,130,209,242,89,10.2,1,23,4,0.0,162,12
cont,2024,40,230,130,210,242,90,10.2,4424,3984,20891,0,0,0,0,130,210,242,90,10.2,0,0,0,0.0,162,12
cont,1984,0,285,105,192,211,74,8.2,2506,1665,8892,0,0,0,0,105,192,211,74,8.2,1,23,25,0.0,404,12
cont,1985,1,280,104,189,209,75,8.3,2505,1665,8896,0,0,0,0,104,189,209,75,8.3,1,26,2,0.0,404,12
cont,1986,2,279,105,190,210,75,8.3,2528,1677,8963,0,0,0,0,105,190,210,75,8.3,1,27,2,0.0,404,12
cont,1987,3,279,105,190,210,76,8.3,2553,1690,9034,0,0,0,0,105,190,210,76,8.3,1,27,2,0.0,404,12
cont,1988,4,278,105,191,211,76,8.3,2577,1703,9108,0,0,0,0,105,191,211,76,8.3,1,23,2,0.0,404,12
cont,1989,5,278,106,191,211,77,8.3,2597,1713,9163,0,0,0,0,106,191,211,77,8.3,1,24,2,0.0,404,12
cont,1990,6,278,106,192,212,77,8.4,2619,1724,9223,0,0,0,0,106,192,212,77,8.4,1,26,2,0.0,404,12
cont,1991,7,277,106,192,212,77,8.4,2643,1737,9295,0,0,0,0,106,192,212,77,8.4,1,25,2,0.0,404,12
cont,1992,8,277,107,193,213,78,8.4,2665,1748,9359,0,0,0,0,107,193,213,78,8.4,1,32,2,0.0,404,12
cont,1993,9,276,107,193,214,78,8.4,2695,1762,9438,0,0,0,0,107,193,214,78,8.4,1,28,2,0.0,404,12
cont,1994,10,276,107,194,214,78,8.5,2720,1773,9505,0,0,0,0,107,194,214,78,8.5,1,26,2,0.0,404,12
cont,1995,11,275,108,195,215,78,8.5,2741,1785,9569,0,0,0,0,108,195,215,78,8.5,1,24,2,0.0,404,12
cont,1996,12,275,108,195,216,79,8.5,2762,1796,9631,0,0,0,0,108,195,216,79,8.5,1,25,2,0.0,404,12
cont,1997,13,274,109,196,216,79,8.5,2785,1807,9695,0,0,0,0,109,196,216,79,8.5,1,18,2,0.0,404,12
cont,1998,14,274,109,196,216,79,8.5,2801,1814,9736,0,0,0,0,109,196,216,79,8.5,1,22,2,0.0,404,12
cont,1999,15,273,109,196,217,80,8.5,2820,1823,9785,0,0,0,0,109,196,217,80,8.5,1,20,2,0.0,404,12
cont,2000,16,273,109,196,217,80,8.6,2838,1832,9832,0,0,0,0,109,196,217,80,8.6,1,23,2,0.0,404,12
cont,2001,17,272,109,196,217,80,8.6,2858,1844,9897,0,0,0,0,109,196,217,80,8.6,1,24,2,0.0,404,12
cont,2002,18,272,110,197,218,80,8.6,2880,1864,9999,0,0,0,0,110,197,218,80,8.6,1,23,2,0.0,404,12
cont,2003,19,271,110,197,218,81,8.6,2900,1874,10051,0,0,0,0,110,197,218,81,8.6,1,20,2,0.0,404,12
cont,2004,20,271,110,198,218,81,8.6,2917,1882,10099,0,0,0,0,110,198,218,81,8.6,1,25,2,0.0,404,12
cont,2005,21,270,110,198,219,81,8.7,2939,1895,10168,0,0,0,0,110,198,219,81,8.7,1,20,2,0.0,404,12
cont,2006,22,270,111,198,219,81,8.7,2957,1903,10215,0,0,0,0,111,198,219,81,8.7,1,16,3,0.0,404,12
cont,2007,23,269,111,198,219,82,8.7,2971,1911,10261,0,0,0,0,111,198,219,82,8.7,1,22,3,0.0,404,12
cont,2008,24,269,111,199,220,82,8.7,2990,1922,10323,0,0,0,0,111,199,220,82,8.7,1,25,3,0.0,404,12
cont,2009,25,268,111,199,220,82,8.7,3012,1938,10409,0,0,0,0,111,199,220,82,8.7,1,23,3,0.0,404,12
cont,2010,26,268,112,200,221,82,8.7,3032,1952,10489,0,0,0,0,112,200,221,82,8.7,1,21,3,0.0,404,12
cont,2011,27,268,112,200,221,82,8.8,3051,1966,10565,0,0,0,0,112,200,221,82,8.8,1,20,3,0.0,404,12
cont,2012,28,267,112,200,221,83,8.8,3067,1975,10614,0,0,0,0,112,200,221,83,8.8,1,22,3,0.0,404,12
cont,2013,29,267,112,201,222,83,8.8,3087,1987,10683,0,0,0,0,112,201,222,83,8.8,1,24,3,0.0,404,12
cont,2014,30,266,113,201,222,83,8.8,3108,2002,10765,0,0,0,0,113,201,222,83,8.8,1,27,3,0.0,404,12
cont,2015,31,266,113,202,223,83,8.8,3132,2018,10858,0,0,0,0,113,202,223,83,8.8,1,23,3,0.0,404,12
cont,2016,32,265,114,202,224,83,8.9,3153,2029,10918,0,0,0,0,114,202,224,83,8.9,1,27,3,0.0,404,12
cont,2017,33,265,114,203,224,84,8.9,3176,2051,11032,0,0,0,0,114,203,224,84,8.9,1,31,3,0.0,404,12
cont,2018,34,264,115,204,225,84,8.9,3204,2066,11115,0,0,0,0,115,204,225,84,8.9,1,25,3,0.0,404,12
cont,2019,35,264,115,204,226,84,8.9,3226,2081,11197,0,0,0,0,115,204,226,84,8.9,1,23,3,0.0,404,12
cont,2020,36,263,115,205,226,84,9.0,3246,2094,11272,0,0,0,0,115,205,226,84,9.0,1,23,3,0.0,404,12
cont,2021,37,263,116,205,227,84,9.0,3265,2104,11328,0,0,0,0,116,205,227,84,9.0,1,22,3,0.0,404,12
cont,2022,38,262,116,205,227,84,9.0,3284,2118,11410,0,0,0,0,116,205,227,84,9.0,1,22,3,0.0,404,12
cont,2023,39,262,116,206,228,85,9.0,3303,2128,11467,0,0,0,0,116,206,228,85,9.0,1,21,3,0.0,404,12
cont,2024,40,261,117,206,228,85,9.0,3321,2139,11531,0,0,0,0,117,206,228,85,9.0,0,0,0,0.0,404,12
cont.a10,1984,0,324,125,227,247,76,8.4,3055,2024,10595,117,28,0,0,116,202,221,76,10.1,1,32,3,0.0,404,12
cont.a10,1985,1,245,116,203,222,76,9.3,3056,2041,10680,0,0,0,0,116,203,222,76,9.3,1,31,3,0.0,404,12
cont.a10,1986,2,245,117,204,222,77,9.4,3083,2057,10768,0,0,0,0,117,204,222,77,9.4,1,30,3,0.0,404,12
cont.a10,1987,3,244,117,204,223,77,9.4,3110,2084,10900,0,0,0,0,117,204,223,77,9.4,1,31,3,0.0,404,12
cont.a10,1988,4,244,118,205,223,78,9.4,3138,2100,10990,0,0,0,0,118,205,223,78,9.4,1,28,3,0.0,404,12
cont.a10,1989,5,243,118,205,224,78,9.4,3163,2120,11093,0,0,0,0,118,205,224,78,9.4,1,33,3,0.0,404,12
cont.a10,1990,6,243,119,206,224,78,9.5,3192,2156,11266,0,0,0,0,119,206,224,78,9.5,1,37,3,0.0,404,12
cont.a10,1991,7,243,119,207,225,79,9.5,3227,2180,11399,0,0,0,0,119,207,225,79,9.5,1,36,3,0.0,404,12
cont.a10,1992,8,242,120,208,226,79,9.5,3260,2199,11506,0,0,0,0,120,208,226,79,9.5,1,35,3,0.0,404,12
cont.a10,1993,9,242,120,209,227,79,9.6,3291,2218,11612,0,0,0,0,120,209,227,79,9.6,1,30,3,0.0,404,12
cont.a10,1994,10,241,121,209,228,79,9.6,3318,2243,11738,0,0,0,0,121,209,228,79,9.6,1,30,3,0.0,404,12
cont.a10,1995,11,241,121,210,228,80,9.6,3345,2258,11824,0,0,0,0,121,210,228,80,9.6,1,31,3,0.0,404,12
cont.a10,1996,12,240,122,211,229,80,9.6,3373,2274,11915,0,0,0,0,122,211,229,80,9.6,1,32,3,0.0,404,12
cont.a10,1997,13,240,122,212,230,80,9.7,3402,2292,12013,0,0,0,0,122,212,230,80,9.7,1,27,3,0.0,404,12
cont.a10,1998,14,240,123,212,230,80,9.7,3425,2317,12136,0,0,0,0,123,212,230,80,9.7,1,27,3,0.0,404,12
cont.a10,1999,15,239,123,213,231,81,9.7,3449,2332,12217,0,0,0,0,123,213,231,81,9.7,1,28,3,0.0,404,12
cont.a10,2000,16,239,124,213,231,81,9.7,3474,2347,12299,0,0,0,0,124,213,231,81,9.7,1,27,3,0.0,404,12
cont.a10,2001,17,238,124,214,232,81,9.8,3498,2361,12378,0,0,0,0,124,214,232,81,9.8,1,28,3,0.0,404,12
cont.a10,2002,18,238,124,214,233,81,9.8,3523,2375,12459,0,0,0,0,124,214,233,81,9.8,1,28,3,0.0,404,12
cont.a10,2003,19,237,125,215,233,82,9.8,3548,2389,12537,0,0,0,0,125,215,233,82,9.8,1,27,3,0.0,404,12
cont.a10,2004,20,237,125,216,234,82,9.8,3571,2403,12614,0,0,0,0,125,216,234,82,9.8,1,27,3,0.0,404,12
cont.a10,2005,21,237,126,216,234,82,9.9,3595,2417,12696,0,0,0,0,126,216,234,82,9.9,1,25,3,0.0,404,12
cont.a10,2006,22,236,126,217,235,82,9.9,3617,2429,12764,0,0,0,0,126,217,235,82,9.9,1,25,3,0.0,404,12
cont.a10,2007,23,236,127,217,235,82,9.9,3638,2442,12836,0,0,0,0,127,217,235,82,9.9,1,31,3,0.0,404,12
cont.a10,2008,24,235,127,218,236,83,10.0,3666,2458,12930,0,0,0,0,127,218,236,83,10.0,1,29,4,0.0,404,12
cont.a10,2009,25,235,128,219,237,83,10.0,3692,2473,13015,0,0,0,0,128,219,237,83,10.0,1,29,4,0.0,404,12
cont.a10,2010,26,234,128,220,238,83,10.0,3718,2487,13099,0,0,0,0,128,220,238,83,10.0,1,24,4,0.0,404,12
cont.a10,2011,27,234,129,220,238,83,10.0,3738,2499,13169,0,0,0,0,129,220,238,83,10.0,1,25,4,0.0,404,12
cont.a10,2012,28,234,129,221,239,83,10.1,3760,2511,13239,0,0,0,0,129,221,239,83,10.1,1,23,4,0.0,404,12
cont.a10,2013,29,233,129,221,239,84,10.1,3779,2528,13326,0,0,0,0,129,221,239,84,10.1,1,27,4,0.0,404,12
cont.a10,2014,30,233,130,222,240,84,10.1,3801,2548,13430,0,0,0,0,130,222,240,84,10.1,1,26,4,0.0,404,12
cont.a10,2015,31,232,130,223,240,84,10.1,3823,2576,13569,0,0,0,0,130,223,240,84,10.1,1,28,4,0.0,404,12
cont.a10,2016,32,232,131,223,241,84,10.2,3847,2604,13710,0,0,0,0,131,223,241,84,10.2,1,26,4,0.0,404,12
cont.a10,2017,33,231,131,224,242,84,10.2,3869,2621,13803,0,0,0,0,131,224,242,84,10.2,1,27,4,0.0,404,12
cont.a10,2018,34,231,132,225,243,84,10.2,3892,2640,13904,0,0,0,0,132,225,243,84,10.2,1,25,4,0.0,404,12
cont.a10,2019,35,231,132,225,243,84,10.2,3913,2660,14010,0,0,0,0,132,225,243,84,10.2,1,25,4,0.0,404,12
cont.a10,2020,36,230,133,226,244,85,10.3,3933,2685,14135,0,0,0,0,133,226,244,85,10.3,1,24,4,0.0,404,12
cont.a10,2021,37,230,133,226,244,85,10.3,3953,2706,14249,0,0,0,0,133,226,244,85,10.3,1,25,4,0.0,404,12
cont.a10,2022,38,229,133,227,245,85,10.3,3974,2723,14341,0,0,0,0,133,227,245,85,10.3,1,24,4,0.0,404,12
cont.a10,2023,39,229,134,228,245,85,10.4,3994,2738,14428,0,0,0,0,134,228,245,85,10.4,1,24,4,0.0,404,12
cont.a10,2024,40,229,134,228,246,85,10.4,4014,2754,14516,0,0,0,0,134,228,246,85,10.4,0,0,0,0.0,404,12
